422, 710, 834
690, 662, 922
235, 829, 925
819, 616, 846
479, 588, 664
604, 489, 955
620, 428, 972
517, 266, 535
384, 570, 801
436, 299, 453
586, 529, 960
596, 689, 915
677, 122, 701
766, 772, 996
785, 692, 843
201, 296, 422
92, 818, 891
434, 495, 691
685, 829, 942
235, 153, 290
604, 549, 955
532, 393, 780
468, 590, 888
165, 299, 322
307, 609, 640
418, 248, 661
144, 441, 447
806, 659, 907
387, 324, 453
487, 708, 720
761, 365, 979
721, 787, 958
575, 294, 665
179, 713, 855
728, 463, 896
210, 720, 825
720, 423, 816
555, 532, 790
232, 232, 275
412, 905, 971
367, 864, 914
459, 488, 541
125, 462, 471
381, 714, 755
928, 535, 982
331, 695, 874
285, 437, 604
817, 215, 843
250, 851, 897
463, 592, 651
305, 267, 343
416, 633, 688
272, 346, 485
51, 858, 871
546, 407, 922
721, 831, 863
720, 599, 988
756, 120, 761
412, 525, 890
178, 435, 569
347, 461, 616
223, 731, 803
523, 704, 962
802, 350, 943
136, 715, 754
643, 631, 727
917, 286, 920
889, 379, 892
147, 576, 639
440, 424, 623
514, 428, 567
337, 422, 615
289, 391, 412
629, 943, 1000
779, 497, 910
83, 364, 429
190, 171, 295
810, 596, 960
853, 400, 909
52, 711, 714
708, 698, 751
728, 602, 907
322, 457, 518
354, 725, 978
64, 926, 952
724, 584, 882
463, 376, 754
288, 658, 662
202, 519, 630
340, 114, 445
313, 309, 335
370, 380, 431
258, 261, 270
744, 650, 963
250, 63, 275
601, 559, 633
173, 862, 936
323, 707, 925
195, 260, 416
224, 759, 773
292, 289, 306
793, 479, 961
328, 868, 938
531, 109, 636
541, 746, 1000
312, 286, 340
323, 283, 499
93, 641, 649
533, 584, 655
686, 358, 830
973, 12, 978
411, 700, 772
933, 605, 953
542, 501, 660
530, 446, 945
890, 570, 928
246, 273, 399
266, 64, 288
317, 733, 943
251, 629, 750
477, 384, 543
869, 295, 995
610, 492, 779
308, 296, 313
438, 578, 791
453, 220, 583
290, 455, 660
137, 640, 723
826, 264, 883
855, 56, 868
462, 400, 789
507, 31, 514
482, 591, 692
443, 447, 685
485, 325, 574
804, 686, 949
253, 307, 318
172, 867, 968
382, 631, 829
416, 112, 445
593, 947, 963
520, 744, 896
727, 204, 912
721, 231, 861
499, 363, 506
710, 253, 723
558, 680, 778
411, 170, 490
698, 430, 806
373, 67, 405
370, 359, 524
499, 525, 966
386, 200, 532
141, 144, 173
628, 348, 941
360, 226, 451
394, 719, 993
326, 739, 828
447, 827, 879
778, 829, 876
298, 597, 893
646, 653, 842
228, 337, 466
877, 505, 961
520, 468, 866
357, 923, 966
862, 628, 904
138, 573, 638
354, 358, 433
536, 657, 981
718, 401, 869
414, 184, 495
931, 116, 987
208, 289, 484
410, 351, 458
752, 390, 990
286, 347, 413
429, 123, 512
619, 642, 707
567, 387, 755
417, 593, 685
870, 871, 965
808, 452, 951
227, 568, 739
437, 242, 521
451, 409, 587
406, 505, 890
701, 394, 853
485, 189, 573
215, 839, 850
967, 797, 988
628, 638, 917
308, 361, 638
269, 461, 676
837, 86, 870
478, 224, 633
233, 443, 502
970, 838, 996
463, 557, 762
189, 461, 505
457, 616, 749
882, 903, 979
452, 296, 670
722, 132, 758
223, 640, 683
632, 458, 930
723, 702, 938
850, 700, 930
197, 825, 958
623, 303, 795
654, 824, 896
567, 558, 755
515, 647, 875
806, 40, 826
152, 912, 955
513, 391, 880
160, 786, 915
768, 427, 863
408, 603, 855
327, 617, 707
167, 746, 899
243, 213, 320
369, 86, 411
773, 204, 932
525, 639, 680
698, 447, 841
414, 697, 814
49, 881, 924
638, 569, 844
665, 699, 895
638, 892, 955
214, 226, 368
916, 142, 945
378, 231, 525
516, 199, 655
778, 640, 782
756, 631, 893
488, 666, 920
571, 247, 620
315, 604, 902
577, 312, 713
929, 450, 971
693, 375, 858
379, 532, 871
227, 914, 962
48, 700, 729
748, 839, 854
750, 257, 871
562, 683, 690
893, 602, 951
408, 457, 774
801, 246, 871
874, 756, 999
519, 468, 840
329, 300, 553
381, 577, 782
357, 523, 753
668, 735, 924
435, 251, 459
485, 631, 648
773, 475, 836
752, 340, 776
365, 340, 450
282, 628, 633
265, 357, 615
492, 555, 766
855, 643, 989
711, 641, 920
182, 860, 913
596, 705, 916
283, 595, 732
625, 718, 850
534, 702, 852
555, 551, 817
153, 587, 735
779, 570, 782
290, 616, 881
78, 371, 409
119, 93, 198
579, 678, 699
434, 642, 643
512, 592, 905
461, 486, 894
132, 377, 506
630, 85, 636
749, 597, 882
452, 240, 524
428, 465, 667
431, 877, 952
161, 509, 622
779, 416, 806
675, 701, 832
162, 484, 557
696, 576, 721
384, 681, 785
265, 657, 775
559, 37, 582
221, 107, 237
774, 684, 872
436, 291, 639
872, 324, 995
42, 489, 518
345, 516, 763
770, 802, 923
271, 837, 892
432, 864, 880
718, 183, 818
780, 713, 902
406, 918, 949
140, 870, 935
575, 352, 734
178, 332, 487
249, 377, 532
686, 794, 922
298, 425, 489
463, 538, 582
462, 739, 936
712, 398, 833
436, 881, 923
161, 400, 444
124, 157, 168
721, 978, 988
511, 506, 731
840, 429, 853
847, 752, 896
152, 390, 540
802, 611, 932
394, 748, 937
672, 434, 805
447, 336, 742
723, 634, 829
628, 573, 891
260, 676, 689
72, 818, 857
842, 866, 907
454, 636, 882
143, 574, 646
750, 238, 872
418, 453, 560
382, 567, 863
201, 306, 472
831, 601, 899
964, 931, 987
714, 374, 815
461, 565, 882
789, 537, 807
390, 532, 722
62, 460, 520
398, 685, 865
829, 342, 905
399, 618, 690
105, 911, 933
442, 515, 774
487, 420, 710
362, 316, 574
438, 378, 562
728, 621, 845
600, 702, 726
418, 406, 734
720, 403, 982
270, 508, 695
716, 809, 812
110, 329, 342
502, 504, 726
692, 180, 839
524, 17, 539
383, 716, 775
341, 670, 942
502, 438, 530
695, 189, 847
749, 403, 885
254, 184, 411
789, 567, 902
60, 131, 184
324, 441, 499
100, 148, 175
238, 628, 787
812, 159, 869
168, 723, 725
634, 823, 886
673, 814, 845
994, 500, 1000
342, 660, 694
772, 645, 854
539, 659, 754
300, 806, 837
671, 887, 926
648, 383, 691
82, 755, 817
530, 888, 917
212, 316, 454
470, 390, 500
742, 397, 995
823, 386, 926
464, 518, 683
333, 447, 556
288, 480, 518
615, 431, 820
179, 721, 833
944, 468, 984
858, 853, 915
651, 520, 732
654, 752, 967
195, 102, 201
535, 718, 916
448, 281, 466
781, 66, 802
411, 158, 531
216, 540, 637
405, 537, 727
256, 645, 808
352, 538, 586
489, 153, 516
779, 612, 952
90, 636, 721
720, 414, 851
298, 232, 301
653, 690, 766
411, 150, 525
495, 611, 951
446, 253, 623
292, 693, 853
148, 61, 169
263, 222, 469
352, 946, 985
446, 815, 954
782, 508, 902
454, 638, 743
706, 945, 995
667, 568, 932
74, 666, 706
385, 532, 586
257, 525, 559
687, 653, 734
568, 676, 677
268, 823, 918
386, 652, 1000
467, 520, 736
221, 833, 966
122, 440, 529
643, 763, 811
879, 373, 932
615, 944, 962
587, 450, 686
526, 20, 540
560, 826, 980
199, 199, 325
404, 125, 409
302, 354, 542
646, 811, 927
709, 849, 921
258, 176, 343
161, 615, 706
531, 672, 947
540, 736, 807
443, 672, 975
708, 271, 815
715, 143, 826
663, 330, 730
357, 250, 439
538, 626, 627
352, 835, 888
312, 376, 554
443, 582, 837
547, 560, 645
289, 833, 964
189, 717, 872
721, 812, 927
700, 497, 954
491, 354, 814
834, 438, 926
675, 648, 887
574, 563, 577
781, 587, 810
734, 715, 979
559, 719, 908
520, 270, 601
432, 823, 850
738, 179, 819
698, 734, 995
173, 223, 351
466, 471, 826
239, 269, 272
370, 462, 750
293, 209, 311
